model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
DeepSeek V4.1 Flash,5,547,1357.7224951798491,4050.0,5537,372.6433000803642,438.54636275201943,8.754246575342465,0.7992772265098615,1.0,1.0,0.04114740112312685
DeepSeek V4.1 Flash,6,1,70.03708793691338,1850.0,129,14.278149327121657,15.11649481224048,1,0.8449612403100775,0.13813732958990818,0.13813732958990818,0.00493311992439776
DeepSeek V4.1 Flash,6,2,137.61257380652293,950.0,129,14.549733710963176,16.36486361301893,1.0025906735751295,0.8372093023255814,0.27120669173289697,0.27120669173289697,0.00555442990125738
DeepSeek V4.1 Flash,6,3,203.66435566449647,650.0,132,14.684213269445669,16.072739344795345,1.0025906735751295,0.8372093023255814,0.403061533910426,0.403061533910426,0.007407215110999228
DeepSeek V4.1 Flash,6,4,251.15720266073973,550.0,137,15.776086869831108,18.919476946352123,1.0087609511889863,0.8284313725490197,0.4980030436444947,0.4980030436444947,0.007373661573789825
DeepSeek V4.1 Flash,6,5,306.77462154140534,450.0,137,16.2493103133666,19.359922957814156,1.0114795918367347,0.8345864661654135,0.6060355023237349,0.6060355023237349,0.008193178252342075
DeepSeek V4.1 Flash,6,6,344.3783903606461,400.0,136,17.227201710608355,21.15041602681619,1.0139949109414759,0.8631840796019901,0.6847685433787776,0.6847685433787776,0.007409621948622541
DeepSeek V4.1 Flash,6,7,372.74052403101683,400.0,147,18.76141498532193,23.46914962448082,1.0205562273276905,0.8217592592592593,0.7310747812304216,0.7310747812304216,0.009351107550945268
DeepSeek V4.1 Flash,6,8,369.43104172813764,350.0,129,20.97344192614899,25.08163868959056,1.0299319727891156,0.8528645833333334,0.7422024489177916,0.7422024489177916,0.00944408952611313
DeepSeek V4.1 Flash,6,10,435.2349371264092,300.0,129,22.67296967581643,26.694127754700332,1.0474137931034482,0.8402777777777778,0.846408317960639,0.846408317960639,0.010512531411617686
DeepSeek V4.1 Flash,6,15,525.5236384472038,300.0,155,28.163177683992632,34.448446143801746,1.065190651906519,0.8085585585585585,0.9535197058244371,0.9535197058244371,0.013325189117184007
DeepSeek V4.1 Flash,6,22,595.4065601278654,400.0,238,35.49995122290391,44.98600899142155,1.1523235800344234,0.8211206896551724,0.9849526367733104,0.9849526367733104,0.014249432497812454
DeepSeek V4.1 Flash,6,32,690.613976479034,500.0,342,45.568614069212046,55.90858526665139,1.2383146807109942,0.8307453416149069,0.996365674346471,0.996365674346471,0.01489383219259996
DeepSeek V4.1 Flash,6,46,788.1500837445752,600.0,470,55.97540443799779,70.54105560869637,1.401178361006963,0.8363028953229399,0.9981865998314093,0.9981865998314093,0.01691755625806306
